datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
2009-04-06,^GSPC,835.47998046875,839.75,839.75,822.7899780273438,6210000000,0.0,0.0,-66.66666666666667,100.0,0.0
2009-04-07,^GSPC,815.5499877929688,834.1199951171875,834.1199951171875,814.530029296875,5155580000,-0.44714727157202105,0.0,-66.66666666666667,100.0,0.0
2009-04-08,^GSPC,825.1599731445312,816.760009765625,828.4199829101562,814.8400268554688,5938460000,-0.27174930610897263,33.28059121154246,-40.01897847309851,100.0,0.0
2009-04-09,^GSPC,856.5599975585938,829.2899780273438,856.9099731445312,829.2899780273438,7600710000,0.9483709344070803,68.60144570398161,121.81955940587036,57.366512679029036,0.0
2009-04-13,^GSPC,858.72998046875,855.3300170898438,864.3099975585938,845.3499755859375,6434890000,1.6777490416219507,69.74644447122921,105.95055431101814,64.80701898794969,0.0
2009-04-14,^GSPC,841.5,856.8800048828125,856.8800048828125,840.25,7569840000,1.3479040418509385,53.670322276462606,46.04672827001979,46.569960047200276,0.0
2009-04-15,^GSPC,852.0599975585938,839.4400024414062,852.9299926757812,835.5800170898438,6241100000,1.591539736630807,59.5775551538867,44.8247819438913,32.66395191457499,0.0
2009-04-16,^GSPC,865.2999877929688,854.5399780273438,870.3499755859375,847.0399780273438,6598670000,2.3590065063851853,65.31381088216547,104.71611552387135,50.70969302740199,0.0
2009-04-17,^GSPC,869.5999755859375,865.1799926757812,875.6300048828125,860.8699951171875,7352010000,3.0679075693266213,66.89228668192771,124.57422650898737,54.53053281789744,0.0
2009-04-20,^GSPC,832.3900146484375,868.27001953125,868.27001953125,832.3900146484375,6973960000,1.6094877110697325,47.52975427743769,-2.369543439545058,7.87188230762151,0.0
2009-04-21,^GSPC,850.0800170898438,831.25,850.0900268554688,826.8300170898438,7436490000,1.4754836245209617,54.06842395841167,-13.683445757341525,1.672081221251677,0.0
2009-04-22,^GSPC,843.5499877929688,847.260009765625,861.780029296875,840.5700073242188,7327860000,0.998464096456928,51.61235546665636,24.66623362223932,12.597914118611808,0.0
2009-04-23,^GSPC,851.9199829101562,844.6199951171875,852.8699951171875,835.4500122070312,6563100000,1.1042541642642618,54.36128437726895,12.119861442264636,7.200890698934173,0.0
2009-04-24,^GSPC,866.22998046875,853.9099731445312,871.7999877929688,853.9099731445312,7114440000,1.9984501485417923,58.52824200817796,119.91158851512054,21.577844814015368,0.0
2009-04-27,^GSPC,857.510009765625,862.8200073242188,868.8300170898438,854.6500244140625,5613460000,2.1298527891493677,55.34296770703949,86.69840550639326,21.577844814015354,0.0
