Step,Balance,Shares Held,Net Worth,Profit
1,10000,0,10000.0,0.0
2,10000,0,10000.0,0.0
3,10000,0,10000.0,0.0
4,10000,0,10000.0,0.0
5,10000,0,10000.0,0.0
6,10000,0,10000.0,0.0
7,10000,0,10000.0,0.0
8,481.70013427734375,11,10000.0,0.0
9,481.70013427734375,11,10047.299865722656,47.29986572265625
10,481.70013427734375,11,9637.990295410156,-362.00970458984375
11,481.70013427734375,11,9832.580322265625,-167.419677734375
12,481.70013427734375,11,9760.75,-239.25
13,9852.819946289062,0,9852.819946289062,-147.1800537109375
14,9852.819946289062,0,9852.819946289062,-147.1800537109375
15,420.2098388671875,11,9852.819946289062,-147.1800537109375
16,9826.969543457031,0,9826.969543457031,-173.03045654296875
17,9826.969543457031,0,9826.969543457031,-173.03045654296875
18,226.0595703125,11,9826.969543457031,-173.03045654296875
19,226.0595703125,11,9878.77978515625,-121.22021484375
20,226.0595703125,11,10205.699462890625,205.699462890625
21,10167.859436035156,0,10167.859436035156,167.85943603515625
22,10167.859436035156,0,10167.859436035156,167.85943603515625
23,10167.859436035156,0,10167.859436035156,167.85943603515625
24,10167.859436035156,0,10167.859436035156,167.85943603515625
25,10167.859436035156,0,10167.859436035156,167.85943603515625
26,176.00970458984364,11,10167.859436035158,167.85943603515807
27,176.00970458984364,11,9899.129516601562,-100.8704833984375
28,176.00970458984364,11,9999.77978515625,-0.22021484375
29,176.00970458984364,11,9887.689758300781,-112.31024169921875
30,10182.819946289062,0,10182.819946289062,182.8199462890625
31,10182.819946289062,0,10182.819946289062,182.8199462890625
32,10182.819946289062,0,10182.819946289062,182.8199462890625
33,411.18975830078125,11,10182.819946289062,182.8199462890625
34,10168.189758300781,0,10168.189758300781,168.18975830078125
35,10168.189758300781,0,10168.189758300781,168.18975830078125
36,10168.189758300781,0,10168.189758300781,168.18975830078125
37,10168.189758300781,0,10168.189758300781,168.18975830078125
38,10168.189758300781,0,10168.189758300781,168.18975830078125
39,739.4898071289061,10,10168.189758300783,168.18975830078307
40,10186.889709472656,0,10186.889709472656,186.88970947265625
41,10186.889709472656,0,10186.889709472656,186.88970947265625
42,10186.889709472656,0,10186.889709472656,186.88970947265625
43,785.9894409179688,10,10186.889709472656,186.88970947265625
44,785.9894409179688,10,10177.389587402346,177.38958740234557
45,785.9894409179688,10,10210.289367675781,210.28936767578125
46,785.9894409179688,10,10177.489685058592,177.48968505859193
47,785.9894409179688,10,10234.889587402346,234.88958740234557
48,785.9894409179688,10,10248.089660644531,248.08966064453125
49,785.9894409179688,10,10023.189147949219,23.18914794921875
50,9905.689147949219,0,9905.689147949219,-94.31085205078125
51,9905.689147949219,0,9905.689147949219,-94.31085205078125
52,9905.689147949219,0,9905.689147949219,-94.31085205078125
53,693.3893432617188,10,9905.689147949219,-94.31085205078125
54,693.3893432617188,10,9623.789123535156,-376.21087646484375
55,693.3893432617188,10,9644.389099121094,-355.61090087890625
56,693.3893432617188,10,9702.789367675781,-297.21063232421875
57,9895.989440917969,0,9895.989440917969,-104.01055908203125
58,9895.989440917969,0,9895.989440917969,-104.01055908203125
59,9895.989440917969,0,9895.989440917969,-104.01055908203125
60,702.7893676757812,10,9895.989440917969,-104.01055908203125
61,702.7893676757812,10,9936.089538574219,-63.91046142578125
62,702.7893676757812,10,9666.989196777344,-333.01080322265625
63,9689.989074707031,0,9689.989074707031,-310.01092529296875
64,9689.989074707031,0,9689.989074707031,-310.01092529296875
65,14.8291015625,11,9689.989074707031,-310.01092529296875
66,14.8291015625,11,9724.309020996094,-275.69097900390625
67,14.8291015625,11,9685.259155273438,-314.7408447265625
68,9926.378967285156,0,9926.378967285156,-73.62103271484375
69,9926.378967285156,0,9926.378967285156,-73.62103271484375
70,9926.378967285156,0,9926.378967285156,-73.62103271484375
71,9926.378967285156,0,9926.378967285156,-73.62103271484375
72,9926.378967285156,0,9926.378967285156,-73.62103271484375
73,9926.378967285156,0,9926.378967285156,-73.62103271484375
74,9926.378967285156,0,9926.378967285156,-73.62103271484375
75,385.67889404296875,10,9926.378967285156,-73.62103271484375
76,10148.578674316406,0,10148.578674316406,148.57867431640625
77,355.97857666015625,10,10148.578674316406,148.57867431640625
78,355.97857666015625,10,10177.778503417969,177.77850341796875
79,355.97857666015625,10,10152.178527832033,152.17852783203307
80,355.97857666015625,10,10107.47882080078,107.47882080077943
81,10223.478576660156,0,10223.478576660156,223.47857666015625
82,10223.478576660156,0,10223.478576660156,223.47857666015625
83,10223.478576660156,0,10223.478576660156,223.47857666015625
84,10223.478576660156,0,10223.478576660156,223.47857666015625
85,10223.478576660156,0,10223.478576660156,223.47857666015625
86,10223.478576660156,0,10223.478576660156,223.47857666015625
87,10223.478576660156,0,10223.478576660156,223.47857666015625
88,152.47882080078114,10,10223.478576660158,223.47857666015807
89,10095.978576660156,0,10095.978576660156,95.97857666015625
90,10095.978576660156,0,10095.978576660156,95.97857666015625
91,10095.978576660156,0,10095.978576660156,95.97857666015625
92,10095.978576660156,0,10095.978576660156,95.97857666015625
93,10095.978576660156,0,10095.978576660156,95.97857666015625
94,199.27874755859375,10,10095.978576660156,95.97857666015625
95,199.27874755859375,10,10163.878967285156,163.87896728515625
96,199.27874755859375,10,10272.97869873047,272.97869873047057
97,199.27874755859375,10,10460.578796386719,460.57879638671875
98,10454.978210449219,0,10454.978210449219,454.97821044921875
99,10454.978210449219,0,10454.978210449219,454.97821044921875
100,173.77825927734375,10,10454.978210449219,454.97821044921875
101,173.77825927734375,10,10483.578063964844,483.57806396484375
102,173.77825927734375,10,10463.078796386719,463.07879638671875
103,173.77825927734375,10,10379.97821044922,379.97821044922057
104,10154.178039550781,0,10154.178039550781,154.17803955078125
105,10154.178039550781,0,10154.178039550781,154.17803955078125
106,10154.178039550781,0,10154.178039550781,154.17803955078125
107,10154.178039550781,0,10154.178039550781,154.17803955078125
108,10154.178039550781,0,10154.178039550781,154.17803955078125
109,10154.178039550781,0,10154.178039550781,154.17803955078125
110,10154.178039550781,0,10154.178039550781,154.17803955078125
111,10154.178039550781,0,10154.178039550781,154.17803955078125
112,710.1183471679688,9,10154.178039550781,154.17803955078125
113,10183.788391113281,0,10183.788391113281,183.78839111328125
114,10183.788391113281,0,10183.788391113281,183.78839111328125
115,10183.788391113281,0,10183.788391113281,183.78839111328125
116,10183.788391113281,0,10183.788391113281,183.78839111328125
117,10183.788391113281,0,10183.788391113281,183.78839111328125
118,538.8480834960938,9,10183.788391113281,183.78839111328125
119,538.8480834960938,9,10086.678039550781,86.67803955078125
120,9995.868347167969,0,9995.868347167969,-4.13165283203125
121,9995.868347167969,0,9995.868347167969,-4.13165283203125
122,9995.868347167969,0,9995.868347167969,-4.13165283203125
123,9995.868347167969,0,9995.868347167969,-4.13165283203125
124,9995.868347167969,0,9995.868347167969,-4.13165283203125
125,9995.868347167969,0,9995.868347167969,-4.13165283203125
126,9995.868347167969,0,9995.868347167969,-4.13165283203125
127,9995.868347167969,0,9995.868347167969,-4.13165283203125
128,503.38861083984375,9,9995.868347167969,-4.13165283203125
129,503.38861083984375,9,10021.608215332031,21.60821533203125
130,10092.708435058594,0,10092.708435058594,92.70843505859375
131,10092.708435058594,0,10092.708435058594,92.70843505859375
132,406.99896240234375,9,10092.708435058594,92.70843505859375
133,10065.708435058594,0,10065.708435058594,65.70843505859375
134,237.52825927734375,9,10065.708435058594,65.70843505859375
135,237.52825927734375,9,10106.568786621094,106.56878662109375
136,237.52825927734375,9,10026.648742675781,26.64874267578125
137,237.52825927734375,9,10118.718566894531,118.71856689453125
138,237.52825927734375,9,10057.068786621094,57.06878662109375
139,237.52825927734375,9,9970.128479003906,-29.87152099609375
140,10073.718566894531,0,10073.718566894531,73.71856689453125
141,10073.718566894531,0,10073.718566894531,73.71856689453125
142,10073.718566894531,0,10073.718566894531,73.71856689453125
143,10073.718566894531,0,10073.718566894531,73.71856689453125
144,10073.718566894531,0,10073.718566894531,73.71856689453125
145,10073.718566894531,0,10073.718566894531,73.71856689453125
146,748.0090942382812,9,10073.718566894531,73.71856689453125
147,10133.929138183594,0,10133.929138183594,133.92913818359375
148,725.2388305664062,9,10133.929138183594,133.92913818359375
149,10143.738830566406,0,10143.738830566406,143.73883056640625
150,544.0687866210938,9,10143.738830566406,143.73883056640625
151,10167.769226074219,0,10167.769226074219,167.76922607421875
152,330.04962158203125,9,10167.769226074219,167.76922607421875
153,330.04962158203125,9,10167.139709472656,167.13970947265625
154,330.04962158203125,9,10216.639709472656,216.63970947265625
155,330.04962158203125,9,10115.209533691406,115.20953369140625
156,330.04962158203125,9,10171.369445800781,171.36944580078125
157,330.04962158203125,9,10313.750061035156,313.75006103515625
158,330.04962158203125,9,10322.929138183594,322.92913818359375
159,330.04962158203125,9,10318.250061035156,318.25006103515625
160,330.04962158203125,9,10184.149841308594,184.14984130859375
161,330.04962158203125,9,10152.469665527344,152.46966552734375
162,10286.209533691406,0,10286.209533691406,286.20953369140625
163,10286.209533691406,0,10286.209533691406,286.20953369140625
164,290.53948974609375,9,10286.209533691406,286.20953369140625
165,290.53948974609375,9,10113.949401855469,113.94940185546875
166,290.53948974609375,9,10151.209533691406,151.20953369140625
167,10270.279357910156,0,10270.279357910156,270.27935791015625
168,10270.279357910156,0,10270.279357910156,270.27935791015625
169,10270.279357910156,0,10270.279357910156,270.27935791015625
170,10270.279357910156,0,10270.279357910156,270.27935791015625
171,10270.279357910156,0,10270.279357910156,270.27935791015625
172,10270.279357910156,0,10270.279357910156,270.27935791015625
173,10270.279357910156,0,10270.279357910156,270.27935791015625
174,349.12957763671875,9,10270.279357910156,270.27935791015625
175,349.12957763671875,9,10306.819885253906,306.81988525390625
176,349.12957763671875,9,10376.119445800781,376.11944580078125
